348, 80820 6274
349, 44916 115614 65551 66502
350, 26863 14072 12104 21867 97162 115378 32466 101177 90788 41638 74920 80472 114988 123881 33126 61432 125472 32355 81399 113862 69351 18010 123202 88173 94111 9634 84528 62584 45232 84016 1274 101751 24301 34091 106740
351, 33917
352, 27447
353, 57989
354, 34205 78496 44860 12659 111274 115230 32627 46320 111732 120516 34118 123160 2870
355, 52847 120675
356, 29302 594 118653 123811
357, 115503 44523 97225 1775 17465 124073 31085 59627 107378 29180 997 41926 23031 57306 30083 235
358, 118366
359, 119873 112811
360, 10260 124715 68666 69980 66001 47998 9741 100135 37062
361, 27514 113441 125511 38933 40575 99347 114996 20372 127347 61609 26095 81896 12477 113573 15573 97944 33157 55879 46353 53406 40772 8243 95365 82997 74368 88501 63527 59390
362, 97246 10551 40487 119382 49401 105972
363, 45723 53041 95352 90265
364, 29358 92851 58457 28627 84650
365, 79376 63820
366, 70792 111281 89649 38518
367, 108819 58097 4714 34857 11867
368, 64546 51226 99585 12164 69170 24913 40155 16732 103981 95076 119854 125371 5096 70856 7089 81871 103289 74784 24846 65000 90644 114318 79538 106411 80144 57277 108974 11588 96930
369, 4692 40609
370, 3880 79066 85926 120543 90956
371, 9174
372, 15289 94077 35759 13908 63649 13563 108315 68072 7084
373, 88240 42324 86625 17000
374, 13939 113416 76298 56089
375, 127054 102657 123508
376, 46481 32867 2798 22302 28177
377, 17496 68364 83873 40414
378, 110037 125021 38455 80933 520 3835
379, 80560 52005 80841 71142
380, 67704 39 5998 91382 60632 96209 34285 66340 30259 99884 57133
381, 69725
382, 64731 62556
383, 94413
384, 2972 48677 107965
385, 71097 15894 50359
386, 88797
387, 95568 5395 101350 121217 63179 9081 13955 93096 113042 4360 85750
388, 88082 20787 28360 50664 32561 90067 50670 114597
389, 52806
390, 61975 91836 85335 69135 39599 81855
391, 55608
392, 6861 126387 43167 36244 31760 79454 92506 54926 28865 51872 8823 56999
393, 97162 125472 88173 62584 84016
394, 18004 42109 33686 91707 124987 89044 71879
395, 77287 95427 88631 124311 103638 92252 126362 58784 92017
396, 76775 64308 42397 33796 62730 2343 35076
